City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Nikolskoye,RU,2022-01-17 02:09:47,59.7035,30.7861,33.87,84,100,7.78
89,Andenes,NO,2022-01-17 02:09:47,69.3143,16.1194,30.18,64,40,17.27
90,Ilulissat,GL,2022-01-17 02:09:47,69.2167,-51.1,6.82,51,20,11.5
91,Saskylakh,RU,2022-01-17 02:09:48,71.9167,114.0833,-22.99,92,23,14.54
92,Guerrero Negro,MX,2022-01-17 02:07:34,27.9769,-114.0611,64.67,59,100,10.27
93,Pevek,RU,2022-01-17 02:09:48,69.7008,170.3133,-25.96,98,29,0.29
94,Terney,RU,2022-01-17 02:10:48,45.0503,136.6092,10.98,87,100,15.3
95,Avarua,CK,2022-01-17 02:10:49,-21.2078,-159.775,80.65,83,75,39.12
96,Saint George,US,2022-01-17 02:10:49,37.1041,-113.5841,47.53,46,0,1.01
97,Ushuaia,AR,2022-01-17 02:10:19,-54.8,-68.3,38.86,75,75,20.71
98,Ixtapa,MX,2022-01-17 02:10:49,20.7,-105.2,74.23,88,0,2.3
99,Eureka,US,2022-01-17 02:10:50,40.8021,-124.1637,47.35,82,99,1.01
100,Rasulnagar,PK,2022-01-17 02:10:50,32.3285,73.7814,48.43,51,100,1.57
101,Santa Maria,BR,2022-01-17 02:09:20,-29.6842,-53.8069,85.01,47,80,4.76
102,Beloha,MG,2022-01-17 02:10:50,-25.1667,45.05,71.4,91,30,8.32
103,Faanui,PF,2022-01-17 02:10:51,-16.4833,-151.75,78.57,86,100,10.96
104,Mehriz,IR,2022-01-17 02:10:51,31.5917,54.4318,39.54,52,0,5.46
105,Sorland,NO,2022-01-17 02:10:51,67.667,12.6934,37.24,58,100,34.78
106,Bethel,US,2022-01-17 02:10:52,41.3712,-73.414,36.91,86,100,4.0
107,Hede,CN,2022-01-17 02:10:52,33.7681,120.2517,42.58,58,8,0.81
108,Hamilton,US,2022-01-17 02:10:52,39.1834,-84.5333,31.41,93,100,3.0
109,Floriano,BR,2022-01-17 02:10:52,-6.7669,-43.0225,78.35,74,100,1.95
110,Manta,EC,2022-01-17 02:10:06,-0.95,-80.7333,76.78,83,40,6.91
111,Isangel,VU,2022-01-17 02:07:47,-19.55,169.2667,83.41,58,0,10.33
112,Bredasdorp,ZA,2022-01-17 02:10:53,-34.5322,20.0403,64.62,84,1,2.46
113,Bilibino,RU,2022-01-17 02:10:53,68.0546,166.4372,-18.49,81,4,3.09
114,Coquimbo,CL,2022-01-17 02:10:53,-29.9533,-71.3436,62.33,77,0,5.75
115,Egvekinot,RU,2022-01-17 02:10:54,66.3167,-179.1667,-16.42,86,5,9.57
116,Mangrol,IN,2022-01-17 02:09:10,21.1167,70.1167,65.37,55,0,10.89
117,Los Llanos De Aridane,ES,2022-01-17 02:10:54,28.6585,-17.9182,65.95,62,95,14.0
118,Passo De Camaragibe,BR,2022-01-17 02:10:54,-9.2368,-35.4901,78.35,84,51,3.2
119,Homer,US,2022-01-17 02:10:55,59.6425,-151.5483,24.69,74,0,3.44
120,Den Helder,NL,2022-01-17 02:10:55,52.9599,4.7593,44.58,82,66,15.01
121,Tanda,IN,2022-01-17 02:08:10,26.55,82.65,45.43,80,0,6.44
122,Cabo San Lucas,MX,2022-01-17 02:09:22,22.8909,-109.9124,76.51,82,0,3.44
123,Bluff,NZ,2022-01-17 02:10:55,-46.6,168.3333,66.47,59,42,8.34
124,Iqaluit,CA,2022-01-17 02:10:56,63.7506,-68.5145,-25.31,74,100,4.0
125,Kenai,US,2022-01-17 02:10:56,60.5544,-151.2583,15.1,93,0,5.75
126,Tuktoyaktuk,CA,2022-01-17 02:10:56,69.4541,-133.0374,-30.96,99,10,6.35
127,Ust-Omchug,RU,2022-01-17 02:10:56,61.15,149.6333,-21.15,92,86,4.07
128,Berlevag,NO,2022-01-17 02:10:57,70.8578,29.0864,25.48,68,100,24.56
129,Leh,IN,2022-01-17 02:10:57,34.1667,77.5833,0.52,74,98,4.16
130,Nanortalik,GL,2022-01-17 02:10:57,60.1432,-45.2371,25.27,90,100,19.8
131,Umm Lajj,SA,2022-01-17 02:10:58,25.0213,37.2685,59.94,46,4,6.82
132,Honiara,SB,2022-01-17 02:08:49,-9.4333,159.95,88.84,64,55,8.32
133,Margate,GB,2022-01-17 02:10:58,51.3813,1.3862,40.3,88,15,1.99
134,North Bend,US,2022-01-17 02:10:58,43.4065,-124.2243,46.85,99,22,5.3
135,Natal,BR,2022-01-17 02:07:36,-5.795,-35.2094,77.65,94,20,3.44
136,Whitianga,NZ,2022-01-17 02:10:59,-36.8333,175.7,80.29,39,0,8.28
